	Last updated on 23/10/2024	
	ConceptId	Term
1	416855002	Family history of diabetes mellitus in first degree relative (situation)
2	1066841000000108	COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message second invitation
3	1322831000000107	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result indeterminate
4	504321000000104	Extended hours access enhanced services administration (procedure)
5	11816003	Diet education
6	1024751000000104	Patient Activation Measure assessment declined (situation)
7	977351000000100	White - Northern Ireland ethnic category 2011 census
8	513611000000103	Lithium monitoring third letter
9	716741000000100	Lipid disorder monitoring telephone invitation
10	936481000000102	Registered for access to Patient Facing Service (finding)
11	375721000000105	Cardiovascular disease high risk monitoring invitation
12	769011000000105	Consent given for treatment by student (finding)
13	379411000000105	Brief intervention for excessive alcohol consumption declined (situation)
14	975191000000103	Signposting carer to resource
15	718466001	Short Warwick Edinburgh Mental Well-being Scale score (observable entity)
16	394682001	On examination - Right diabetic foot at moderate risk (finding)
17	170638008	Asthma not limiting activities
18	512321000000109	Assessment of needs offered to carer
19	804881000000105	Insulin Passport Given
20	161561009	History of eczema (situation)
21	704034004	Discussion about anticoagulation therapy (procedure)
22	125605004	Fracture of bone (disorder)
23	986751000000107	Army veteran (finding)
24	9826008	Conjunctivitis
25	976891000000104	Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census
26	9711000175104	Measles, mumps and rubella vaccination declined (situation)
27	1085331000000103	Signposting to helpline (procedure)
28	408336008	Did not attend physiotherapy appointment (finding)
29	1239631000000109	Total diet replacement programme invitation
30	204761000000103	Reads Italian
31	160619003	Rolls own cigarettes (finding)
32	310373003	Immunisation advised
33	976871000000103	Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census
34	401122004	Family history: Angina in first degree male relative less than 55 years (situation)
35	401011001	Peak expiratory flow rate monitoring using diary (regime/therapy)
36	169836001	Birth of child
37	1084301000000105	Signposting to contraception and sexual health service
38	185720008	Hypertension monitoring second letter
39	247602005	Memory function normal (finding)
40	1324751000000103	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination second dose declined
41	413812009	Cervical smear not indicated (situation)
42	247472004	Weal (disorder)
43	183860003	Referral to antenatal clinic
44	1066951000000101	Hypertension monitoring SMS first invitation
45	1290301000000109	Online access to own health record withheld following enhanced health record review (finding)
46	170949004	Menopause initial assessment (regime/therapy)
47	979151000000108	Informed consent for local clinical audit (finding)
48	1092721000000109	Signposting to Diabetes UK
49	39301211000001105	COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials (AstraZeneca UK Ltd) 80 dose 10 x 8 dose vials (product)
50	148571000000102	Quality and Outcomes Framework non-diabetic hyperglycaemia quality indicator-related care invitation using preferred method of communication (procedure)
